epoch,loss,mae,val_loss,val_mae
1,660.2227783203125,14.269423484802246,8.165461540222168,2.4398159980773926
2,15.218894958496094,3.0611629486083984,8.17229175567627,2.4465956687927246
3,12.899614334106445,2.76300048828125,8.274393081665039,2.456014394760132
4,11.987664222717285,2.631782293319702,8.077484130859375,2.4259777069091797
5,11.684160232543945,2.5927894115448,8.128478050231934,2.439202308654785
6,11.440473556518555,2.572298765182495,8.807482719421387,2.5158803462982178
7,11.482370376586914,2.567791700363159,9.073840141296387,2.5373470783233643
8,11.457404136657715,2.577066421508789,9.958159446716309,2.6508638858795166
9,11.909241676330566,2.623060703277588,10.950665473937988,2.760831356048584
10,12.853734970092773,2.722607135772705,10.093552589416504,2.6675050258636475
11,16.174367904663086,3.059551954269409,10.817628860473633,2.722482681274414
12,28.36204719543457,4.165703773498535,12.921031951904297,2.9322965145111084
